property_name,city,state,unit_type,url,match_status
Star Ranch,Palmdale,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-star-ranch-1-pw1hemmd,net_new_candidate
Magpie and Jaebird's Little A-frame,Bellingham,MA,A Frame,https://www.hipcamp.com/en-GB/land/massachusetts-magpie-and-jaebird-s-little-a-frame-4nelhyxj,net_new_candidate
Midtown Mountain Campground and RV,Ruidoso,NM,A Frame,https://www.hipcamp.com/en-GB/land/new-mexico-midtown-mountain-campground-and-rv-j29h8j20,net_new_candidate
ᕼIᗪᗪEᑎ ᗩᑕᖇEᔕ ᗰOᑌᑎTᗩIᑎ ᑕᗩᗰᑭIᑎG,Balsam Grove,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-hidden-acres-mountain-camping-6p0hqk85,net_new_candidate
Cozy A-Frame Cabin Camping,Oriental,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-cozy-a-frame-cabin-camping-v1qh7ory,net_new_candidate
SiloSide Barn and Homestead,Barnet,VT,A Frame,https://www.hipcamp.com/en-GB/land/vermont-siloside-barn-and-homestead-1xmh16w5,net_new_candidate
The Big Pine Ranch,Canton,TX,A Frame,https://www.hipcamp.com/en-US/land/texas-the-big-pine-ranch-6p0hxl6q,net_new_candidate
Grandview Camp @ Lemon Lane Farm,Grandview,TN,A Frame,https://www.hipcamp.com/en-GB/land/tennessee-grandview-camp-lemon-lane-farm-nelhwedx,net_new_candidate
Field Trip NM,,NM,A Frame,https://www.hipcamp.com/en-GB/land/new-mexico-field-trip-nm-6p0h7d18,net_new_candidate
Sleepy Hollow Campground,Grantsville,MD,A Frame,https://www.hipcamp.com/en-GB/land/maryland-sleepy-hollow-campground-zwjhvw2w,net_new_candidate
Robyn M.’s Land,Tamms,IL,A Frame,https://www.hipcamp.com/en-GB/land/illinois-robyn-m-s-land-1-y0zhwyo7,net_new_candidate
Mountain Meadow Glamp Camp,Alma,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-mountain-meadow-glamp-camp-9mxhk7vm,net_new_candidate
Twin Peaks By The Lakes Retreat,Harrison,MI,A Frame,https://www.hipcamp.com/en-GB/land/michigan-wick-wack-nack-shacks-1xmhppj2,net_new_candidate
Taborton Harvest,Sand Lake,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-taborton-harvest-nelh1jq1,net_new_candidate
Nature's Nest,Au Gres,MI,A Frame,https://www.hipcamp.com/en-GB/land/michigan-nature-s-nest-1-dw9hlorw,net_new_candidate
River Rock Farm,Hardy,AR,A Frame,https://www.hipcamp.com/en-GB/land/arkansas-river-rock-farm-ozxhj159,net_new_candidate
The Wildflower On Abrams Creek,Elk Garden,WV,A Frame,https://www.hipcamp.com/en-GB/land/west-virginia-the-wildflower-on-abrams-creek-1-mxvhp2yj,net_new_candidate
Pete Sang Lub,Parthenon,AR,A Frame,https://www.hipcamp.com/en-GB/land/arkansas-pete-sang-lub-nelhlnn2,net_new_candidate
Straydog Property,Skowhegan,ME,A Frame,https://www.hipcamp.com/en-GB/land/maine-straydog-property-r57h22x9,net_new_candidate
Little Arnold A-Frame,Arnold,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-little-arnold-a-frame-glz9h0o2,net_new_candidate
Compass Rose Campgrounds,Ripley,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-compass-rose-campgrounds-lz9h6rkr,net_new_candidate
Berkshire Beech House,Monroe,MA,A Frame,https://www.hipcamp.com/en-GB/land/massachusetts-berkshire-beech-house-06yhpe2z,net_new_candidate
Fish and Fiddle Cabin and RV Sites,Sparta,NC,A Frame,https://www.hipcamp.com/en-US/land/north-carolina-fish-and-fiddle-cabin-and-rv-sites-zwjhzeev,net_new_candidate
Nason Ridge Hummingbird Retreat,Leavenworth,WA,A Frame,https://www.hipcamp.com/en-GB/land/washington-nason-ridge-hummingbird-retreat-y0zhzmyk,net_new_candidate
Nero Coffee Camping Spot,Hendersonville,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-nero-coffee-camping-spot-j29hr18y,net_new_candidate
Torch Lake Stays,Alden,MI,A Frame,https://www.hipcamp.com/en-GB/land/michigan-torch-lake-stays-kk9hyml0,net_new_candidate
Wildflower Pond and Woodlands,Alachua,FL,A Frame,https://www.hipcamp.com/en-GB/land/florida-wildflower-pond-and-woodlands-ex9h8z9e,net_new_candidate
Sangre del Cosmos,Ranchos De Taos,NM,A Frame,https://www.hipcamp.com/en-GB/land/new-mexico-sangre-del-cosmos-dw9hv65x,net_new_candidate
Jemez Mountains A-Frame Cabin,Jemez Springs,NM,A Frame,https://www.hipcamp.com/en-GB/land/new-mexico-jemez-mountains-a-frame-cabin-7rvhdl02,net_new_candidate
Glamping at Smoky Hollow Resort,Sevierville,TN,A Frame,https://www.hipcamp.com/en-GB/land/tennessee-glamping-at-smoky-hollow-resort-nelhv9wj,net_new_candidate
The Spotted Sandpiper,Trumansburg,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-the-spotted-sandpiper-lz9hd9m8,net_new_candidate
A-Frame In The Woods,Dundee,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-a-frame-in-the-woods-1-nelh1pkn,net_new_candidate
