property_name,City,State,Job Number,location_context,resort_category,website_url,date_opened,operational_status,google_maps_url,matched_place_name,Google Review,Number of Reviews,Year of First Review,notes
TBH-Morganton RV/Glamping Resort,Morganton,NC,24-116A-02,"Morganton, NC",RV Resort & Glamping,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
The Camp at Smith Lake,Crane Hill,AL,22-278A-09,"Crane Hill, AL",RV Resort & Glamping,,,,,The Camp @ Smith Lake Tiny Home # 1,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Camp @ Smith Lake Tiny Home # 1"""
The Embers Glamping & RV Resort,Branson,MO,22-346A-12,"Branson, MO",RV Resort,https://www.theembersbranson.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=12340624891337839674&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,The Embers Glamping & RV Resort,4.9,124,2025,
The Lost Hamptons Resort,Windsor,NY,24-164A-04,"Windsor, NY",Glamping resort,,,,,The Sagaponack,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Sagaponack"""
The Marbella,Breckenridge,TX,21-103A-01,"Breckenridge, TX",Glamping resort,,,,,The Bell Mare Hotel,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Bell Mare Hotel"""
The Outpost Glamping Resort,Williams,AZ,24-139A-03,"Williams, AZ",Glamping resort,,,,,The Outpost Grand Canyon,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Outpost Grand Canyon"""
The Peninsula Lakefront RV Resort,Breckenridge,TX,21-181A-07,"Breckenridge, TX",RV Resort,,,,,Peninsula Point RV & Tiny Home Luxury Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Peninsula Point RV & Tiny Home Luxury Resort"""
The Ranch at Salt River,Tortilla Flat,AZ,24-212A-07,"Tortilla Flat, AZ",Glamping resort,,,,,The Ranch Salt River,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Ranch Salt River"""
The Wilds,Easton,WA,21-147A-05,"Easton, WA",Glamping resort,http://thewilds.org/,,Open (OPERATIONAL),https://maps.google.com/?cid=17935386734086091830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,The Wilds,4.8,3976,2025,
Tiger Cove RV Resort,Anderson,SC,22-171A-04,"Anderson, SC",RV Resort,,,,,Tiger Mountain RV Camping & Cabins,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Tiger Mountain RV Camping & Cabins"""
Tiger Creek RV Resort,Tyler,TX,20-319A-10,"Tyler, TX",RV Resort,,,,,Spring Creek RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Spring Creek RV Resort"""
Tim Tam Camping Resort,Jackson Township,NJ,24-135A-03,"Jackson Township, NJ",RV Resort,,,,,TIP TAM CAMPING RESORT,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""TIP TAM CAMPING RESORT"""
To Be Determined,Shenandoah Valley,VA,22-178A-05__2,"Shenandoah Valley, VA",RV Resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Tortilla Flat/Salt River Glamping,Tortilla Flat,AZ,22-327A-11,"Tortilla Flat, AZ",Glamping resort,,,,,Tortilla Flat Saloon,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Tortilla Flat Saloon"""
Tower Park Marina & Resort,Lodi,CA,16-216A-11,"Lodi, CA",RV Resort,,,,,Tower Park Marina,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Tower Park Marina"""
Trail and Hitch Hotel & RV Park,Meeker,CO,20-278A-07,"Meeker, CO",RV Resort,,,,,Trail and Hitch RV Park and Tiny Home Hotel,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Trail and Hitch RV Park and Tiny Home Hotel"""
Tuxedo Falls,Zirconia,NC,24-107A-01,"Zirconia, NC",Glamping resort,https://tuxedofalls.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=6764707399908806995&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Tuxedo Falls,5,120,2025,
Twin Arrows Resort,Twin Arrows,AZ,22-227A-06,"Twin Arrows, AZ",RV Resort & Glamping,,,,,Twin Arrows Navajo Casino Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Twin Arrows Navajo Casino Resort"""
Twin Ponds RV Resort,Cloverdale,IN,23-141A-03,"Cloverdale, IN",RV Resort,,,,,Twin Ponds RV Park and Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Twin Ponds RV Park and Campground"""
Two Guns Glamping and RV Resort,Two Guns,AZ,19-113A-03,"Two Guns, AZ",RV Resort & Glamping,,,,,Double Adobe Campground and Shotgun Sports,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Double Adobe Campground and Shotgun Sports"""
Tyler Creek Campground,Alto,MI,20-310A-09,"Alto, MI",RV Resort,,,,,Tyler Creek Golf Course & Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Tyler Creek Golf Course & Campground"""
Type,Dripping Springs,TX,23-163A-05,"Dripping Springs, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Update 50 Prospect Lake Road,North Egremont,MA,23-129A-03,"North Egremont, MA",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Valley RV Resort at Tonaquint,St. George,UT,21-183A-07,"St. George, UT",RV Resort,,,,,McArthur's Temple View RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""McArthur's Temple View RV Resort"""
vending area,Emory,TX,25-101A-01,"Emory, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Walden Retreats,Johnson City,TX,20-323A-10,"Johnson City, TX",Glamping resort,,,,,Walden Retreats Hill Country,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Walden Retreats Hill Country"""
Weiser River Trailhead RV Resort,Show Low,ID,23-189A-06,"Show Low, ID",RV Resort,,,,,Weiser River Trail Head,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Weiser River Trail Head"""
Wesley Weidermann,Mosinee,WI,25-220A-06,"Mosinee, WI",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Whisper Ridge,Oroville,CA,24-192A-06,"Oroville, CA",RV Resort,,,,,Oroville Wildlife Area,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Oroville Wildlife Area"""
White Oaks Lake,Chattahoochee Hills,GA,24-187A-06,"Chattahoochee Hills, GA",Glamping resort,,,,,White Oak Lake,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""White Oak Lake"""
Wildheart Resort,Kansas City,MO,24-142A-03,"Kansas City, MO",Glamping resort,,,,,Silver Heart Inn & Cottages,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Silver Heart Inn & Cottages"""
Wildish,Pescadero,CA,23-260A-09,"Pescadero, CA",Glamping resort,,,,,Harley Farms Goat Dairy,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Harley Farms Goat Dairy"""
Willow Creek RV Park,Franklin,NC,ARG-willow-creek-rv-park-franklin-nc-nc,"Franklin, NC",RV Resort,,,,,Willow Creek Motor Coach Est,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Willow Creek Motor Coach Est"""
Windemere Cove RV Resort,Langston,AL,21-224A-08,"Langston, AL",RV Resort,,,,,Windemere Cove,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Windemere Cove"""
Winslow East RV Resort,Winslow,AZ,23-276A-11,"Winslow, AZ",RV Resort,,,,,Take It Easy RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Take It Easy RV Park"""
with access to ATV trails. The proposed o,Bluefield,WV,25-123A-02,"Bluefield, WV",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
with proximity to Joshua Tree National Pa,Joshua Tree,CA,25-306A-09,"Joshua Tree, CA",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Woodstock Pines Glamping Resort,Bethel,NY,23-158A-04,"Bethel, NY",Glamping resort,,,,,Domes At Catskills,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Domes At Catskills"""
Yogi Bear's Jellystone Park,Monticello,IA,21-131A-04,"Monticello, IA",RV Resort,,,,,Jellystone Park™ Monticello,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Jellystone Park™ Monticello"""
Zephyr Cove Resort & Marina,Lake Tahoe,NV,23-109A-01,"Lake Tahoe, NV",RV Resort,,,,,Zephyr Cove Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Zephyr Cove Resort"""
