id,property_id,old_total,new_total,property_name,action
11448,fbaf3835-b8c7-4324-b361-85f09a31a849,,4,Rocky Mountains Glamping,update
11449,370b24cd-05d4-4ff0-9e01-0d75167eea57,,5,Fungi Forest Retreat,update
11450,0e152bb4-86a3-4f56-b6dd-112ac75837f3,,5,Creek's Edge,update
11451,d6c634d5-ac35-41ae-b057-4a6a7a86e4f1,,5,Homegrown Campground & Cabins,update
11452,971a300b-577e-49a7-8c0a-70606ad204fe,,9,Elk Island Getaway,update
11453,7bc3e819-a3b9-4c02-8d49-9a370e47667d,,12,The Secret Sanctuary,update
11454,2ecdd1f9-692c-4730-9fcf-c592654123e3,,16,Trappers Hill Lodges & Campground,update
11455,d0ca520e-f493-4a06-881d-9236cacdd1bf,,8,Hidden Springs Retreat & Guesthouse,update
11456,74626a4f-ea07-4356-80b3-fcc1974bcccf,,7,Forest Retreat Cabins & Camping,update
11457,95e82c7d-aae5-4a90-bede-b58b5fcde73c,,39,The Lodge and Spa at Brush Creek Ranch,update
11458,e7ddf68b-0093-40ef-a3b2-4587e2bf696f,,26,Eastwind Oliverea Valley,update
11460,20750f0c-d100-4b18-8cb7-e29564c98e4b,,25,Clayoquot Wilderness Resort,update
11463,8c5fe0fd-e850-4279-b30f-0a881582bc92,,44,Alpen Bluffs,update
11464,05d268d4-d3b1-479d-9104-d7c170e1fcb1,,4,The Destination,update
11466,10e9a720-2bae-4adc-b235-c7e4a113a0d9,,4,Klahoose Wilderness Resort,update
11467,a81a23de-aa44-4230-84e5-c3715c494b1a,,20,The Haven of Cadillac,update
11468,87028c8d-602b-45a3-883e-ec4d423d3db1,,15,Boyne Mountain Resort,update
11470,51e2e968-f07d-4e5d-9efa-3b8dfa30827c,,48,Wander Camp Bear Lake,update
11471,51e2e968-f07d-4e5d-9efa-3b8dfa30827c,,48,Wander Camp Bear Lake,update
11472,51e2e968-f07d-4e5d-9efa-3b8dfa30827c,,48,Wander Camp Bear Lake,update
11473,51e2e968-f07d-4e5d-9efa-3b8dfa30827c,,48,Wander Camp Bear Lake,update
11474,0000e2cc-53d3-43aa-904a-0c60263a986b,,48,Wander Camp Smoky Mountains,update
11475,0000e2cc-53d3-43aa-904a-0c60263a986b,,48,Wander Camp Smoky Mountains,update
11476,0000e2cc-53d3-43aa-904a-0c60263a986b,,48,Wander Camp Smoky Mountains,update
11477,0000e2cc-53d3-43aa-904a-0c60263a986b,,48,Wander Camp Smoky Mountains,update
11478,3b0217a8-3082-41a9-8682-b198aff8bd30,,4,Timberline Glamping at Unicoi State Park,update
